,herf,tilte,text,date_1
0,https://russian.rt.com/opinion/1058357-malcev-rossiya-import-moldaviya-selskoe-hozyaistvo,С почином!,"Внимательно отношусь к развитию виноделия. Так вот, я тут стал замечать некоторые вина приличные из приличных сортов винограда: пино-нуар, шардоне, каберне-совиньон — и все они из Оргеевского района Молдавии. Проблема была только в том, что как класс сельхозпродукция из страны Молдавии у нас, мягко сказать, ограничена. То жучков там находили, то ещё чего. И как-то Молдавию у нас быстро импортозаместили, особенно по овощам и фруктам из 34 районов страны. Вино туда же. А жаль: мы так старательно приучали нашу публику к хорошему вину, что таки добились неплохих результатов.
Также по теме
Россельхознадзор заявил, что решение ограничить импорт товаров из Молдавии не политическое
Решение Россельхознадзора ограничить ввоз растительной продукции из ряда районов Молдавии не является политическим. Об этом говорится...
Тем временем Орхей (именно так значится на картах центр района) проделал работу над ошибками, в отличие от соседей. А главное — понял, что Кишинёву с его политическими играми имени Санду на работяг и экономику вообще наплевать, он смотрит в рот фон дер Ляйен и не понимает: если сюда доберётся Еврокомиссия, то плакали местные производители, как это уже происходило везде, начиная с Португалии. И тогда парни взяли свою судьбу в свои же руки.
Тут глава местной оппозиции Илан Шор так и сказал: «Хватит терпеть унижения и плевки от власти. Вставайте, садитесь на тракторы и приезжайте к президентуре. Мы вместе добьёмся досрочных выборов и наконец-то освободим Молдавию от этих сумасшедших».
Он напомнил, что Россия — стратегический партнёр Молдавии, и призвал фермеров страны добиваться отставки президента Майи Санду и дальше развивать экспорт сельхозпродукции страны.
Отчего это такие резкие заявления? А кое-что изменилось в пользу прагматических соображений.
А потому, что произошло событие, как написали бы блогеры, знаковое: среди всех этих ограничений вдруг Россия возобновила работу с производителями Оргеевского района. Их пока три: GT Petru Maler, SRL Laur Matei и SRL Rusmiliud. Как значится в профиле этих предприятий, «яблоко, слива, вишня» — то, что у нас называют «подкарантинные товары».
Как уточняет Россельхознадзор, импорт с трёх молдавских предприятий в Оргеевском районе будет осуществляться в режиме усиленного лабораторного контроля.
Также по теме
Евросоюз увеличил экспортные квоты для молдавской сельхозпродукции
Глава МИД Молдавии Нику Попеску заявил, что Европейский совет одобрил увеличение экспортных квот на некоторые виды молдавской...
И вот важное: «В дальнейшем ведомство рассмотрит возможность расширения списка сельхозпредприятий, если подтвердится фитосанитарная безопасность овощей и фруктов».
Вот как интересно тележка покатилась. Невзирая на игры политиканов.
Так, глядишь, и до вина дойдём: там в районе есть свои шато (буквально Chateau) — типа как во Франции. И вообще, как сказал бы один выдающийся политический деятель России, «торговля лучше, чем неторговля». А то, что гигантский российский рынок привык получать полный ассортимент фруктов и овощей круглый год по нормальной цене, — это факт. Значит, мы готовы работать с каждым, кто выполняет резонные условия надзора. И мыслит как бизнес, а не как Санду.
Все эти Санду сегодня есть, а завтра нет, а синяя слива — вот она.
Начальству бы кишинёвскому на таких работяг молиться надо: они не клянчат денег или газа — они везут деньги в свою страну. А вернее, в свой район, который и так весьма ухоженный и небедный.
С почином!
Точка зрения автора может не совпадать с позицией редакции.","7 октября 2022, 19:27"
1,https://russian.rt.com/business/news/1058250-habarovsk-belarus-biznes,В Хабаровске 13 октября пройдёт посвящённый вопросам сотрудничества с Белоруссией форум,"Об этом сообщает transsibinfo.com со ссылкой на Министерство экономического развития региона.
Отмечается, что это будет ответный визит белорусских партнёров после того, как в мае 2022 года губернатор края Михаил Дегтярёв вместе с представителями предпринимательского сообщества посетил Белоруссию. 
В рамках бизнес-форума компании — представители двух государств среди прочего обменяются контактами и получат возможность расширить географию сбыта своих товаров. 
Ранее НСН передавала, что число зарегистрированных субъектов малого и среднего предпринимательства (МСП) в Москве выросло на 6% по сравнению с прошлым годом и превысило 772 тыс.","7 октября 2022, 15:08"
2,https://russian.rt.com/business/news/1058156-moskva-predpriyatiya-proizvodstvo,"В Москве промпредприятия увеличили объём производства на 6,5% за восемь месяцев","Об этом сообщает НСН.
«Развитие транспортной инфраструктуры, медицины, строительства города неразрывно связано с деятельностью заводов и фабрик. Столичные предприятия — это миллиарды рублей инвестиций, сотни новых разработок и исследований в год, а ещё — свыше 700 тыс. горожан, занятых сегодня на производствах», — прокомментировал заместитель мэра по вопросам экономической политики и имущественно-земельных отношений Владимир Ефимов.
Всего в Москве функционирует более 3 тыс. промышленных предприятий.
Ранее ФАН сообщало, что в Сочи в сентябре прошла Всероссийская неделя охраны труда.","7 октября 2022, 14:38"
3,https://russian.rt.com/russia/news/1058057-magazin-rossiya-sankcii,«Ъ»: сеть магазинов OBI в России переименуют,"«Российское юридическое лицо DIY-сети OBI в конце сентября подало заявку на регистрацию товарного знака HOBI, а в начале октября — OBBI», — говорится в сообщении.
Отмечается, что компания также зарегистрировала новый домен.
Ранее сообщалось, что Федеральная антимонопольная служба согласовала ходатайство группы инвестиционно-строительных компаний MAX о приобретении бизнеса OBI в России.","7 октября 2022, 03:42"
4,https://russian.rt.com/world/news/1058052-mask-twitter-ssha,Маск обвинил руководство Twitter в безрассудных действиях,"«Удивительно, но они (Twitter. — RT) настаивают на продолжении этого судебного процесса, безрассудно подвергая сделку риску и ставя под удар интересы своих акционеров», — говорится в заявлении адвокатов Маска, которое приводит телеканал CNBC.
Ранее Маск уведомил Twitter о расторжении сделки о покупке компании из-за того, что в соцсети не выполнили договорных обязательств.
После этого компания подала в суд на Маска, чтобы добиться приобретения соцсети миллиардером.
Агентство Bloomberg со ссылкой на источники сообщило, что американский предприниматель Илон Маск предложил Twitter возобновить сделку по приобретению компании по цене $54,2 за акцию.","7 октября 2022, 02:18"
5,https://russian.rt.com/business/article/1057792-evropa-rossiya-sankcii-neft-ceny-potolok,«В реальности не будет соблюдаться»: Евросоюз одобрил введение потолка цен на российскую нефть,"В четверг, 6 октября, Европейский союз утвердил восьмой пакет экономических санкций против России. Об этом говорится в опубликованном заявлении на сайте Совета ЕС.
«Мы ещё сильнее бьём по военной экономике России, ограничивая её возможности для импорта и экспорта, и движемся в ускоренном порядке по пути к тому, чтобы освободиться от зависимости от российских энергоносителей», — заявил глава евродипломатии Жозеп Боррель.
Рестрикции, в частности, предусматривают создание правовой базы для ограничения стоимости российской нефти. В рамках инициативы планируется запретить европейским компаниям перевозить сырьё из РФ морем в третьи страны по цене выше определённого лимита.
Сам потолок цен пока ещё не был единогласно одобрен всеми странами Евросоюза. Тем не менее уже с 5 декабря соответствующий запрет на перевозки должен заработать в отношении российской нефти, а с 5 февраля 2023 года — распространиться и на нефтепродукты.
«Ценовой лимит позволит резко сократить доходы России от продажи нефти… Также ограничение будет способствовать стабилизации мировых цен на энергоносители», — считают в Совете ЕС.
AFP © Olivier HOSLET / POOL
Напомним, ранее государства ЕС вслед за США и Великобританией решили ввести запрет на импорт российской нефти. Предполагается, что ограничение полностью вступит в силу 5 декабря, но будет распространяться лишь на морские поставки, а не на трубопроводные.
Тем не менее в преддверии эмбарго Европа уже заметно сократила объём закупок нефти у России. Так, за первые восемь месяцев 2022 года экспорт сырья из РФ в страны Евросоюза и Великобританию упал более чем на 34% — с 2,6 млн до 1,7 млн баррелей в день. Об этом свидетельствуют материалы Международного энергетического агентства (МЭА).
Также по теме
«Не пойдут на поводу у США»: страны ОПЕК+ договорились снизить добычу нефти на 2 млн баррелей в сутки
Государства — участники соглашения ОПЕК+ договорились с ноября снизить добычу нефти сразу на 2 млн баррелей в сутки, это максимальное...
Вместе с тем Москва продолжила получать высокий объём доходов от продажи нефти за счёт возросших цен на сырьё и переориентации поставок в дружественные страны. Как подсчитали в Минфине РФ, с января по сентябрь 2022 года Россия заработала на экспорте нефти и нефтепродуктов 7,57 трлн рублей — на 49% больше, чем за аналогичный период 2021-го.
В результате ещё летом страны Европы вместе с США задумались ограничить стоимость российской нефти. Впрочем, как полагают в правительстве РФ, подобные действия нарушают все рыночные механизмы и рискуют обернуться ещё большим удорожанием топлива на глобальном рынке.
«Если хочешь создать дефицит на мировом рынке той или иной продукции, например нефти, нефтепродуктов, то введи обязательно ограничение цен… На сегодняшний день, к сожалению, политика преобладает над экономикой, и такие неэффективные решения приводят к тому, что будет просто рост цен и за это будут платить потребители этих стран», — заявил 5 октября российский вице-премьер Александр Новак по итогам переговоров ОПЕК+.
Похожую точку зрения ранее озвучил и президент России Владимир Путин. По его мнению, попытки ограничения цен не имеют никаких перспектив, поскольку Москва не собирается торговать по навязанным ей правилам и продавать нефть себе в убыток. На этом фоне глава государства призывал западных партнёров одуматься.
«Абсолютно тупое решение. Если кто-то попытается его реализовать, ни к чему хорошему для тех, кто принимает это решение, оно не приведёт... Не будем ничего поставлять, если это противоречит нашим интересам, в данном случае экономическим. Ни газ не будем поставлять, ни нефть, ни уголь, ни топочный мазут — ничего не будем поставлять... Те, кто нам что-то навязывает, не в том положении находятся сегодня, чтобы диктовать нам свою волю», — предупреждал Путин в сентябре на Восточном экономическом форуме.
Любопытно, что и в самой Европе крупный энергетический бизнес скептически относится к планам по ограничению цен на российскую нефть. Так, например, глава французской компании TotalEnergies Патрик Пуянне считает инициативу ЕС неудачной, пишет Bloomberg.
«Я думаю, что на самом деле это плохая идея. По сути, это способ вернуть лидерство Владимиру Путину, а я бы никогда этого не сделал», — заявил Пуянне 5 октября на форуме Energy Intelligence в Лондоне.
«Есть немало способов обходить»
Как рассказал RT главный аналитик компании «Телетрейд» Марк Гойхман, потолок цен никогда прежде не использовался в мировой торговле и воплотить это решение в жизнь будет практически невозможно. Новые ограничения не касаются самих стран ЕС, поскольку Евросоюз планирует вовсе отказаться от закупок российской нефти. Между тем другие государства — потребители сырья вряд ли поддержат данную инициативу, считает специалист.
«Основные альтернативные покупатели российской нефти, в частности Индия и Китай, не высказывают готовности участвовать в подобных планах. В то же время страны ОПЕК выступают против ценового потолка для России, поскольку опасаются, что в будущем аналогичные меры могут быть приняты и против других государств-экспортёров», — объяснил Гойхман.
Gettyimages.ru © Yao Feng/VCG
Более того, по словам эксперта, сегодня ведущие позиции в морских перевозках нефти занимают компании из Греции, Кипра и Мальты, а после установления ценового потолка Москва может полностью отказаться от их услуг. В этом случае все три европейские страны рискуют потерять значимую статью доходов.
«Скорее всего, в реальности предел цен не будет соблюдаться компаниями. Если же европейские перевозчики станут придерживаться новых требований ЕС, их прибыль начнёт постепенно переходить к компаниям из других стран — Азии, Латинской Америки и самой России. Контролировать соблюдение условий соглашения крайне проблематично, есть немало способов явно или неявно их обходить», — добавил Марк Гойхман.
Само решение Евросоюза отказаться от покупок нефти у Москвы опрошенные RT эксперты также считают рискованным для ЕС. Как объяснил аналитик Freedom Finance Global Владимир Чернов, многие нефтеперерабатывающие заводы Европы могут работать только с российским сырьём из-за особенностей его состава, а переоснащение предприятий требует больших затрат.
Также по теме
Обратный ход: почему на Западе задумались о смягчении антироссийских санкций
Еврокомиссия анонсировала новый пакет антироссийских санкций, в рамках которого предлагается запретить импорт золота из РФ. В то же...
«Кроме того, после введения эмбарго стоимость нефти может вырасти, а различные пути обхода санкций всё равно позволят РФ зарабатывать сверхприбыли. При возросших мировых ценах Москва может увеличить дисконт для других покупателей и всё равно остаться в плюсе. Так, например, Индия за счёт скидки может значительно увеличить объёмы закупок нефти у РФ и после её переработки на своих НПЗ перепродать тем же странам ЕС, но уже по рыночным ценам», — пояснил Чернов.
По мнению Марка Гойхмана, санкции против России в энергетической сфере могут привести к удорожанию сырья на мировом рынке с нынешних $93—94 до $130—140 за баррель. Это, в свою очередь, приведёт к ещё большему разгону инфляции в ЕС, увеличению расходов бизнеса и населения, что станет ударом для экономики региона, уверен специалист.
Гора запретов
Помимо потолка цен на нефть, новый пакет санкций включает в себя запрет на импорт в ЕС целого ряда российской продукции общей стоимостью €7 млрд. Ограничения, в частности, касаются стали, древесины, бумаги, оборудования, сигарет, пластмассы, косметики и материалов для ювелирной промышленности.
Одновременно предусмотрен запрет на экспорт из Европы в РФ угля, химических веществ, техники для авиационной отрасли, а также электронных компонентов, используемых в российском оружии. Помимо этого, гражданам ЕС теперь нельзя занимать руководящие должности в госкомпаниях России, а европейскому бизнесу запрещено представлять РФ финансовые, инженерные, архитектурные, юридические и IT-услуги.
Gettyimages.ru © Jonathan Raa/NurPhoto
Наряду с этим Евросоюз запретил все операции с Российским морским регистром судоходства. Также россиянам больше нельзя владеть криптокошельками на территории ЕС.
«Из всех перечисленных ограничений, вероятнее всего, самое большое негативное значение для России имеют санкции относительно поставок в нашу страну решений для IТ-отрасли. Например, в секторе добычи и геологоразведки полезных ископаемых около 90% техники и технологий у нас импортные. Однако для других сфер — финансового сектора или ретейла — эти санкции не будут столь ощутимы, так как у нас есть собственные аналоги», — отметил в разговоре с RT руководитель аналитического департамента AMarkets Артём Деев.
По мнению эксперта, ещё одним вызовом для России может стать запрет на экспорт продукции металлургии. В этом случае компаниям придётся пересматривать логистику и перенаправлять металлы и изделия из них на другие рынки. Впрочем, спрос на эту продукцию в мире остаётся высоким, поэтому у российского бизнеса со временем получится полностью заместить европейских покупателей, уверен Деев.
«Что касается запрета на использование криптокошельков, то в этом году ими пользовались более активно для обхода санкций, когда в РФ перестали действовать иностранные платёжные системы и были введены санкции против российских банков. Однако эти ограничения коснутся только небольшой прослойки населения страны», — заключил эксперт.","6 октября 2022, 18:17"
6,https://russian.rt.com/business/news/1057843-moskva-promyshlennost-proizvodstvo,В Москве производство мясной продукции выросло на 14%,"Об этом пишет kp.ru.
«В Москве продукты питания выпускают более 200 предприятий, среди них 24 производителя специализируются на изготовлении мясной продукции — сосисок, колбас, полуфабрикатов. За восемь месяцев этого года объём их производства вырос на 14% по сравнению с тем же периодом 2021 года», — рассказал вице-мэр.
По его словам, предприятия этой отрасли активно пользуются городскими мерами поддержки, передаёт НСН.
В том числе три предприятия имеют статус промышленного комплекса, позволяющего получать налоговые льготы.
Ранее сообщалось, что в Нижегородской области на 20% перевыполнили план по сбору зерновых культур в текущем году.","6 октября 2022, 16:16"
7,https://russian.rt.com/nopolitics/news/1057754-telekanal-biznes-anons,Канал RU.TV запускает реалити-шоу «Сверхновая»,"В каждой серии эксперты из МТС и других компаний будут обучать девушек, прошедших кастинг, ведению бизнеса и помогать прокачивать профессиональные навыки.
Победительница получит 5 млн рублей на развитие собственного бизнеса.
Результаты будет оценивать жюри, в состав которого войдут эксперты МТС и RU.TV, в том числе бизнесвумен, певица, телеведущая и актриса Елена Север.
«У современной женщины в России гораздо больше возможностей найти себя и реализоваться, чем ещё 10—20 лет назад. И всё же женщины, как и прежде, нуждаются в поддержке», — заявила Север.
По её словам, шоу призвано не только помочь участницам реализовать себя в бизнесе, но и поддержать всех зрительниц телеканала RU.TV.
Ведущая проекта — Яна Чурикова.","6 октября 2022, 13:42"
8,https://russian.rt.com/business/news/1057761-region-tory-obedinenie,В Хабаровском крае сообщили о планах по слиянию трёх территорий опережающего развития,"Речь идёт о территориях «Хабаровск», «Комсомольск» и «Николаевск», сообщает transsibinfo.com.
Инициативу, которая исходила от Корпорации развития Дальнего Востока и Арктики, поддержали на региональном уровне. Наблюдательный совет ТОРов принял решение об их объединении.
Это поможет упростить процедуру финансирования и возведения инфраструктурных объектов и новых конкурентоспособных предприятий.
Ранее НСН сообщила, что на площадке «Алабушево» особой экономической зоны «Технополис Москва» появится 17 высокотехнологичных предприятий.","6 октября 2022, 13:42"
9,https://russian.rt.com/russia/news/1057666-dnr-torgovlya-seti,Хоценко рассказал о переговорах с крупными торговыми сетями о работе в ДНР,"«Мы хотим конкуренцию развивать. Хотели бы, чтобы к нам заходили крупные сети. С рядом крупных сетей ведём переговоры», — заявил он в интервью РИА Новости.
Также Хоценко сообщил, что власти республики работают над созданием свободной экономической зоны.
Федеральная налоговая служба России заявила об открытии своих отделений в Донецкой и Луганской народных республиках, а также Запорожской и Херсонской областях.","6 октября 2022, 10:25"
